Course,Module,Difficulty,Skill_level
DevOps,Introduction to DevOps,Easy,Beginner
DevOps,Version Control with Git/GitHub,Easy,Beginner
DevOps,Container Basics with Docker,Easy,Beginner
DevOps,CI/CD Concepts,Easy,Beginner
DevOps,Introduction to Scripting for DevOps,Easy,Beginner
DevOps,Jenkins Pipelines,Medium,Intermediate
DevOps,Infrastructure as Code (IaC),Medium,Intermediate
DevOps,Monitoring with Prometheus,Medium,Intermediate
DevOps,Logging with ELK Stack,Medium,Intermediate
DevOps,Configuration Management (Ansible),Medium,Intermediate
DevOps,Advanced Kubernetes Techniques,Hard,Expert
DevOps,Scalable CI/CD Architecture,Hard,Expert
DevOps,DevSecOps Principles,Hard,Expert
DevOps,Site Reliability Engineering (SRE),Hard,Expert
DevOps,Disaster Recovery in DevOps,Hard,Expert
DevOps,Multi-Cloud CI/CD Pipelines,M_Expert,Expert
DevOps,Advanced IaC Patterns with Terraform,M_Expert,Expert
DevOps,Container Orchestration at Scale,M_Expert,Expert
DevOps,Security Hardening in DevOps,M_Expert,Expert
DevOps,Distributed Systems for DevOps,M_Expert,Expert
AI,Introduction to Artificial Intelligence,Easy,Beginner
AI,Basic Python for AI,Easy,Beginner
AI,Introduction to Linear Algebra for AI,Easy,Beginner
AI,Overview of AI Applications,Easy,Beginner
AI,History of Artificial Intelligence,Easy,Beginner
AI,Supervised Learning Basics,Medium,Intermediate
AI,Unsupervised Learning Fundamentals,Medium,Intermediate
AI,Decision Trees and Random Forests,Medium,Intermediate
AI,Feature Engineering Techniques,Medium,Intermediate
AI,Model Evaluation Metrics,Medium,Intermediate
AI,Deep Neural Networks,Hard,Expert
AI,Reinforcement Learning Basics,Hard,Expert
AI,Optimization Algorithms for AI,Hard,Expert
AI,Recurrent Neural Networks (RNNs),Hard,Expert
AI,Generative Adversarial Networks (GANs),Hard,Expert
AI,Transformers and Large Language Models,M_Expert,Expert
AI,AI for Robotics,M_Expert,Expert
AI,Explainable AI (XAI),M_Expert,Expert
