module_code,course_name,course_provider,course_level,module_name,difficulty_level,keywords,link,,,,,,,,
DE0001,DevOps Course,Pluralsight,Expert,Introduction to Expert DevOps Course,Easy,"devops, automation, CI/CD, infrastructure",https://pluralsight.com/devops/expert,,,,,,,,
MO0002,Mobile App Development Course,Udemy,Expert,Advanced Topics in Expert Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://udemy.com/mobile-app-development/expert,,,,,,,,
CY0003,Cybersecurity Course,Coursera,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://coursera.com/cybersecurity/intermediate,,,,,,,,
IO0004,IoT Course,Udemy,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://udemy.com/iot/beginner,,,,,,,,
SO0005,Software Engineering Course,edX,Expert,Intermediate Concepts in Expert Software Engineering Course,Medium,"software engineering, programming, coding, development",https://edx.com/software-engineering/expert,,,,,,,,
DA0006,Data Science Course,LinkedIn Learning,Expert,Advanced Topics in Expert Data Science Course,Hard,"data science, big data, analysis, statistics",https://linkedinlearning.com/data-science/expert,,,,,,,,
CY0007,Cybersecurity Course,Pluralsight,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://pluralsight.com/cybersecurity/intermediate,,,,,,,,
DE0008,DevOps Course,Udemy,Intermediate,Introduction to Intermediate DevOps Course,Easy,"devops, automation, CI/CD, infrastructure",https://udemy.com/devops/intermediate,,,,,,,,
SO0009,Software Engineering Course,Coursera,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://coursera.com/software-engineering/intermediate,,,,,,,,
CL0010,Cloud Computing Course,Udemy,Intermediate,Intermediate Concepts in Intermediate Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://udemy.com/cloud-computing/intermediate,,,,,,,,
DA0011,Data Science Course,Google Developers,Intermediate,Advanced Topics in Intermediate Data Science Course,Hard,"data science, big data, analysis, statistics",https://googledevelopers.com/data-science/intermediate,,,,,,,,
CL0012,Cloud Computing Course,LinkedIn Learning,Beginner,Intermediate Concepts in Beginner Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://linkedinlearning.com/cloud-computing/beginner,,,,,,,,
MO0013,Mobile App Development Course,edX,Expert,Intermediate Concepts in Expert Mobile App Development Course,Medium,"mobile app development, Android, iOS, Flutter",https://edx.com/mobile-app-development/expert,,,,,,,,
DA0014,Data Science Course,Pluralsight,Intermediate,Introduction to Intermediate Data Science Course,Easy,"data science, big data, analysis, statistics",https://pluralsight.com/data-science/intermediate,,,,,,,,
IO0015,IoT Course,Coursera,Intermediate,Intermediate Concepts in Intermediate IoT Course,Medium,"IoT, internet of things, smart devices",https://coursera.com/iot/intermediate,,,,,,,,
MO0016,Mobile App Development Course,Coursera,Beginner,Advanced Topics in Beginner Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/beginner,,,,,,,,
IO0017,IoT Course,Pluralsight,Expert,Introduction to Expert IoT Course,Easy,"IoT, internet of things, smart devices",https://pluralsight.com/iot/expert,,,,,,,,
MA0018,Machine Learning Course,Udemy,Beginner,Introduction to Beginner Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://udemy.com/machine-learning/beginner,,,,,,,,
CY0019,Cybersecurity Course,Coursera,Beginner,Introduction to Beginner Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://coursera.com/cybersecurity/beginner,,,,,,,,
SO0020,Software Engineering Course,Coursera,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://coursera.com/software-engineering/intermediate,,,,,,,,
DA0021,Data Science Course,Coursera,Beginner,Intermediate Concepts in Beginner Data Science Course,Medium,"data science, big data, analysis, statistics",https://coursera.com/data-science/beginner,,,,,,,,
IO0022,IoT Course,Udemy,Intermediate,Intermediate Concepts in Intermediate IoT Course,Medium,"IoT, internet of things, smart devices",https://udemy.com/iot/intermediate,,,,,,,,
MA0023,Machine Learning Course,Google Developers,Intermediate,Advanced Topics in Intermediate Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://googledevelopers.com/machine-learning/intermediate,,,,,,,,
AI0024,AI Course,Udemy,Intermediate,Advanced Topics in Intermediate AI Course,Hard,"AI, deep learning, machine learning",https://udemy.com/ai/intermediate,,,,,,,,
IO0025,IoT Course,Coursera,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://coursera.com/iot/beginner,,,,,,,,
DE0026,DevOps Course,Coursera,Expert,Intermediate Concepts in Expert DevOps Course,Medium,"devops, automation, CI/CD, infrastructure",https://coursera.com/devops/expert,,,,,,,,
MA0027,Machine Learning Course,Udemy,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://udemy.com/machine-learning/expert,,,,,,,,
IO0028,IoT Course,Google Developers,Expert,Intermediate Concepts in Expert IoT Course,Medium,"IoT, internet of things, smart devices",https://googledevelopers.com/iot/expert,,,,,,,,
BL0029,Blockchain Course,LinkedIn Learning,Beginner,Intermediate Concepts in Beginner Blockchain Course,Medium,"blockchain, cryptocurrency, smart contracts",https://linkedinlearning.com/blockchain/beginner,,,,,,,,
SO0030,Software Engineering Course,Udemy,Expert,Advanced Topics in Expert Software Engineering Course,Hard,"software engineering, programming, coding, development",https://udemy.com/software-engineering/expert,,,,,,,,
CY0031,Cybersecurity Course,edX,Expert,Introduction to Expert Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://edx.com/cybersecurity/expert,,,,,,,,
SO0032,Software Engineering Course,Udemy,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://udemy.com/software-engineering/intermediate,,,,,,,,
